ticker,year,n_papers,total_citations,annual_return,sp500_return,excess_return,rd_b,patents,models,paper_share,d_papers,d_share,d_rd,d_patents,d_models,L_d_papers,L_d_share,L_d_patents,L_d_models,post
META,2023,15,708,1.8375824019482927,0.2472948720788867,1.590287529869406,38.483,3165,25,0.009907529722589167,-0.4054651081081646,-0.43340627164135803,0.08525771314208619,0.02949877244779131,-0.40546510810816416,-2.4203681286504293,-1.5238406270543088,0.005874690524789727,0.6678293725756554,1
META,2024,6,136,0.6972671430729726,0.24010976272160814,0.45715738035136444,43.873,2057,29,0.003947368421052632,-0.8266785731844679,-0.9202459117170827,0.13108251136491722,-0.43090444492531876,0.14310084364067333,-0.4054651081081646,-0.43340627164135803,0.02949877244779131,-0.40546510810816416,1
META,2025,4,8,0.1148286983339527,0.1751182939380753,-0.06028959560412259,57.37,1559,9,0.002551020408163265,-0.33647223662121295,-0.43655569517819526,0.26822242191231815,-0.2772040205951809,-1.0986122886681096,-0.8266785731844679,-0.9202459117170827,-0.43090444492531876,0.14310084364067333,1
MSFT,2019,417,55885,0.5825922144550276,0.287147959023383,0.2954442554316446,19.269,10992,9,0.12458918434418882,0.5974021236015608,-0.07924911609547225,0.13260509268167286,0.030387930443950495,0.9162907318741553,0.4752346786632886,-0.16584528833830436,-0.146471317761101,-0.2231435513142097,0
MSFT,2020,552,47257,0.3994288614413636,0.15292906541696086,0.24649979602440272,20.716,9824,8,0.1197656758515947,0.2798765689975786,-0.03948466703088771,0.07240876161788012,-0.11233936407520595,-0.10536051565782634,0.5974021236015608,-0.07924911609547225,0.030387930443950495,0.9162907318741553,0
MSFT,2021,437,48208,0.5578993664211733,0.28793058018340584,0.2699687862377675,24.512,8905,21,0.11395045632333768,-0.2331390911458886,-0.049773372262353455,0.16825644499653558,-0.09821545466316195,0.8938178760220965,0.2798765689975786,-0.03948466703088771,-0.11233936407520595,-0.10536051565782634,0
MSFT,2022,124,46094,-0.2768718283449489,-0.19953050663444413,-0.07734132171050476,27.195,8168,14,0.0823920265780731,-1.2539051730741448,-0.3242750928721727,0.10387033931674328,-0.08638883587926038,-0.382992252256106,-0.2331390911458886,-0.049773372262353455,-0.09821545466316195,0.8938178760220965,1
MSFT,2023,98,8431,0.5834974071984289,0.2472948720788867,0.33620253511954223,29.51,7961,22,0.06472919418758256,-0.23319388716771172,-0.24127634374888274,0.08169605607992425,-0.025669460755922913,0.4274440148269396,-1.2539051730741448,-0.3242750928721727,-0.08638883587926038,-0.382992252256106,1
MSFT,2024,84,6827,0.14501570206039788,0.24010976272160814,-0.09509406066121026,32.488,7998,36,0.05526315789473684,-0.15246859364427312,-0.15810585967018653,0.09614160142914852,0.0046368903181850385,0.4754236967150747,-0.23319388716771172,-0.24127634374888274,-0.025669460755922913,0.4274440148269396,1
NVDA,2019,59,5606,0.7340989311353814,0.287147959023383,0.44695097211199836,2.829,494,6,0.017627726322079474,0.5679840376059389,-0.09758345190079432,0.17450489081903175,0.3247997354082841,1.252762968495368,0.8873031950009032,0.28781796971366,-0.36643111888409763,-0.4054651081081645,0
NVDA,2020,99,17447,1.180241311399999,0.15292906541696086,1.0273122459830382,3.924,677,1,0.021479713603818614,0.5108256237659914,0.19763591471968844,0.3271882493836864,0.31513575572435215,-1.252762968495368,0.5679840376059389,-0.09758345190079432,0.3247997354082841,1.252762968495368,0
NVDA,2021,80,7118,1.2447619821404374,0.28793058018340584,0.9568314019570316,5.268,1138,15,0.020860495436766623,-0.21072103131565267,-0.02925173654155655,0.29453924217791805,0.5193563417740013,2.0794415416798357,0.5108256237659914,0.19763591471968844,0.31513575572435215,-1.252762968495368,0
NVDA,2022,24,8782,-0.5143699246765451,-0.19953050663444413,-0.3148394180421009,7.339,1840,6,0.015946843853820596,-1.1755733298042386,-0.26859626770755574,0.33155180968189124,0.48049323591675464,-0.8266785731844679,-0.21072103131565267,-0.02925173654155655,0.5193563417740013,2.0794415416798357,1
NVDA,2023,26,6842,2.4609833005225035,0.2472948720788867,2.213688428443617,8.675,2058,6,0.017173051519154558,0.07696104113612856,0.07408045085911841,0.1672427322699972,0.111969065790964,0,-1.1755733298042386,-0.26859626770755574,0.48049323591675464,-0.8266785731844679,1
NVDA,2024,29,1815,1.788741347832678,0.24010976272160814,1.5486315851110697,12.914,1902,28,0.019078947368421053,0.10536051565782634,0.10524411212206397,0.3978666683713521,-0.07882867328865917,1.421385680931161,0.07696104113612856,0.07408045085911841,0.111969065790964,0,1
